Country,Year,Index_ponderado.sum
ARGENTINA,2007,0.61437320630625
ARGENTINA,2011,0.457458963104147
ARGENTINA,2015,0.724764541712305
ARGENTINA,2019,0.800124966776754
BOLIVIA,2005,0.593011772520874
BOLIVIA,2009,0.68767181297098
BOLIVIA,2014,0.543430450718936
BOLIVIA,2019,0.562234269791103
BOLIVIA,2020,0.52235529539229
BRASIL,2006,0.499730666188397
BRASIL,2010,0.91330504361531
BRASIL,2014,0.954040910661939
BRASIL,2018,0.841835422409094
BRASIL,2022,0.665029529023926
CHILE,2005,0.543731950681992
CHILE,2009,0.629895834538407
CHILE,2013,0.430435005840799
CHILE,2017,0.511671416900902
CHILE,2021,0.439408020830613
COLOMBIA,2006,0.484736876531424
COLOMBIA,2010,0.452220108731243
COLOMBIA,2014,0.535111888129717
COLOMBIA,2018,0.587790912997657
COLOMBIA,2022,0.77809589356609
COSTA RICA,2006,0.580216455446216
COSTA RICA,2010,0.507954986010364
COSTA RICA,2014,0.292971155673759
COSTA RICA,2018,0.304230957901783
COSTA RICA,2022,0.406580719568905
ECUADOR,2006,0.622171671900898
ECUADOR,2009,0.942049541935484
ECUADOR,2013,0.846691472621791
ECUADOR,2017,0.709778124273535
ECUADOR,2021,0.579552499661435
EL SALVADOR,2004,0.344426435483871
EL SALVADOR,2009,0.514524972044152
EL SALVADOR,2014,0.486570268502103
EL SALVADOR,2019,0.52076292766899
GUATEMALA,2007,0.549906487259243
GUATEMALA,2011,0.920350754534594
GUATEMALA,2015,0.553012832250438
GUATEMALA,2019,0.495084535189175
HONDURAS,2005,0.458624202513784
HONDURAS,2009,0.437884798239926
HONDURAS,2013,0.404964836089867
HONDURAS,2017,0.326924584751435
HONDURAS,2021,0.517620208818483
MEXICO,2006,0.565628848362293
MEXICO,2012,0.476426342287117
MEXICO,2018,0.731898561082173
NICARAGUA,2006,0.60638733887228
NICARAGUA,2011,0.456048353731008
NICARAGUA,2016,0.463298454928315
NICARAGUA,2021,0.550962340620185
PANAMA,2004,0.81834547098402
PANAMA,2009,0.729816634657596
PANAMA,2014,0.703355316093249
PANAMA,2019,0.371896535633545
PARAGUAY,2008,0.780697265350649
PARAGUAY,2013,0.595660861192215
PARAGUAY,2018,0.483055802345879
PERU,2006,0.540911324201385
PERU,2011,0.536033650989073
PERU,2016,0.505666130591001
PERU,2021,0.601753871647313
REPÚBLICA DOMINICANA,2004,0.449617347358383
REPÚBLICA DOMINICANA,2008,0.489450119344838
REPÚBLICA DOMINICANA,2012,0.302578613814852
REPÚBLICA DOMINICANA,2016,0.496965829925995
REPÚBLICA DOMINICANA,2020,0.38536223942933
URUGUAY,2004,0.427540647922223
URUGUAY,2009,0.473056886927595
URUGUAY,2014,0.277975594375495
URUGUAY,2019,0.266060757089807
VENEZUELA,2006,0.914616317703883
VENEZUELA,2012,0.556628665073571
VENEZUELA,2013,0.8314451994034
VENEZUELA,2018,0.820881422281136
